id_caja,id_producto,peso,descripcion
1,3189,10.4,Sin descripcion
2,525,1.5,Fragil
4,1539,10.8,Sin descripcion
1,2010,9.9,Sin descripcion
1,1076,3.6,Sin descripcion
2,3629,10.2,Sin descripcion
1,2572,8.4,Fragil
1,1013,4.4,Fragil
2,2173,6.6,Sin descripcion
2,3160,6.0,Sin descripcion
1,993,7.0,Sin descripcion
2,1024,7.2,Sin descripcion
1,1516,5.3,Sin descripcion
4,2469,4.3,Fragil
2,1997,1.3,Sin descripcion
2,2749,4.0,Fragil
3,2089,4.9,Sin descripcion
1,1665,4.0,Sin descripcion
2,2294,1.9,Fragil
1,629,8.9,Sin descripcion
1,1653,9.3,Fragil
4,2885,8.0,Fragil
3,3320,6.7,Fragil
2,3297,5.4,Fragil
1,716,2.8,Sin descripcion
3,546,7.7,Sin descripcion
2,476,4.8,Fragil
3,3558,10.6,Sin descripcion
3,517,5.7,Sin descripcion
1,1975,6.6,Fragil
2,3179,1.9,Fragil
2,268,4.8,Sin descripcion
1,2170,8.2,Fragil
2,3565,6.7,Fragil
3,959,2.0,Sin descripcion
1,760,3.3,Fragil
3,1262,3.8,Sin descripcion
2,3455,2.3,Sin descripcion
1,2222,4.0,Sin descripcion
4,2046,5.8,Fragil
1,415,6.6,Sin descripcion
2,2477,1.4,Sin descripcion
3,2929,8.9,Fragil
1,2114,4.7,Fragil
3,2381,5.6,Sin descripcion
2,3018,10.3,Fragil
3,905,2.8,Sin descripcion
3,3550,6.9,Sin descripcion
4,2412,6.8,Sin descripcion
3,3069,9.9,Fragil
2,1433,3.0,Fragil
2,3448,10.6,Fragil
2,125,1.3,Sin descripcion
2,2020,1.5,Fragil
4,1652,3.7,Sin descripcion
1,674,6.0,Fragil
1,3695,4.8,Fragil
4,3395,10.1,Sin descripcion
1,100,10.1,Sin descripcion
4,567,7.3,Sin descripcion
1,61,6.2,Sin descripcion
4,3367,6.2,Fragil
1,322,3.9,Sin descripcion
1,3470,4.8,Sin descripcion
2,2226,1.8,Sin descripcion
3,2283,4.0,Fragil
2,1070,7.3,Sin descripcion
1,3657,1.8,Fragil
2,1062,9.6,Sin descripcion
4,3126,4.6,Sin descripcion
1,2969,3.5,Fragil
3,1644,8.3,Sin descripcion
3,2190,2.7,Fragil
2,998,1.0,Fragil
2,1927,5.7,Fragil
2,586,9.2,Sin descripcion
1,1045,2.6,Sin descripcion
2,1788,8.9,Fragil
3,2332,1.5,Sin descripcion
1,1612,4.2,Sin descripcion
2,1614,6.6,Fragil
1,618,6.7,Sin descripcion
1,537,3.8,Fragil
2,771,6.5,Sin descripcion
1,2343,5.2,Sin descripcion
2,566,6.7,Sin descripcion
2,1045,9.6,Sin descripcion
1,2693,5.4,Sin descripcion
2,2575,7.4,Fragil
2,715,9.5,Sin descripcion
1,1011,7.7,Fragil
2,3449,8.2,Fragil
2,2740,3.2,Fragil
3,1433,6.7,Sin descripcion
1,3013,4.4,Fragil
1,1823,9.4,Fragil
2,3027,8.8,Fragil
1,3220,4.8,Fragil
3,325,4.5,Fragil
1,2998,3.6,Fragil
1,757,10.3,Fragil
3,2764,4.6,Fragil
1,1917,3.7,Fragil
3,2050,2.1,Sin descripcion
2,638,2.1,Fragil
3,384,9.0,Fragil
1,515,9.9,Fragil
3,1706,5.0,Sin descripcion
3,1523,2.7,Fragil
3,1760,8.8,Sin descripcion
3,3099,1.6,Sin descripcion
1,2031,9.3,Fragil
1,3088,2.3,Fragil
2,341,8.5,Sin descripcion
3,3106,5.2,Sin descripcion
1,1834,3.4,Fragil
1,3514,8.8,Fragil
2,1728,1.0,Sin descripcion
2,3104,2.7,Fragil
1,219,2.9,Sin descripcion
1,2570,7.5,Sin descripcion
4,2275,10.8,Sin descripcion
3,1799,9.0,Fragil
1,109,4.4,Sin descripcion
2,1751,10.6,Fragil
1,634,1.0,Sin descripcion
1,2661,5.0,Sin descripcion
2,2993,8.8,Fragil
2,508,5.3,Fragil
2,3640,8.2,Sin descripcion
4,1929,2.5,Fragil
1,3577,3.9,Sin descripcion
2,1648,2.3,Fragil
2,778,1.2,Fragil
1,1751,4.0,Fragil
2,2789,7.6,Sin descripcion
1,2688,9.2,Fragil
3,1198,8.4,Fragil
1,3389,8.7,Sin descripcion
4,837,4.9,Sin descripcion
3,337,3.2,Sin descripcion
2,5,8.0,Fragil
3,2341,9.7,Fragil
2,428,5.7,Sin descripcion
2,557,1.9,Fragil
1,1590,9.3,Sin descripcion
4,1905,2.1,Sin descripcion
3,3167,7.4,Sin descripcion
4,1015,9.7,Sin descripcion
2,3177,1.4,Fragil
1,1345,9.2,Fragil
1,3098,6.0,Fragil
2,2349,3.1,Fragil
2,1849,8.8,Sin descripcion
2,3112,10.4,Fragil
1,213,2.0,Fragil
3,3489,1.9,Fragil
2,1652,2.9,Sin descripcion
1,84,3.0,Fragil
1,2831,3.3,Fragil
1,3226,1.3,Sin descripcion
4,956,1.9,Sin descripcion
1,80,7.4,Sin descripcion
1,2591,2.5,Fragil
1,1606,2.8,Sin descripcion
2,951,7.6,Sin descripcion
2,1479,8.4,Sin descripcion
2,2681,3.6,Fragil
3,293,9.6,Sin descripcion
1,2289,4.5,Sin descripcion
3,3631,5.3,Sin descripcion
1,2477,8.0,Sin descripcion
2,1335,9.6,Sin descripcion
2,3500,6.6,Sin descripcion
2,293,6.2,Fragil
1,1069,1.8,Fragil
4,934,3.0,Fragil
1,566,10.2,Fragil
1,853,3.2,Fragil
3,3213,7.0,Sin descripcion
4,3080,5.5,Fragil
2,603,1.0,Fragil
2,1628,8.0,Sin descripcion
1,2394,1.7,Sin descripcion
3,2563,8.0,Fragil
3,2556,8.1,Sin descripcion
1,2086,6.6,Fragil
2,1281,5.7,Fragil
3,3330,2.6,Fragil
1,1027,6.5,Fragil
2,1600,2.3,Sin descripcion
1,1721,5.6,Sin descripcion
1,3102,4.3,Fragil
1,1475,1.7,Sin descripcion
2,1358,3.7,Fragil
3,1219,2.5,Sin descripcion
3,1622,3.1,Sin descripcion
1,1743,6.2,Fragil
1,3009,4.9,Fragil
1,3601,10.0,Sin descripcion
3,2152,4.1,Sin descripcion
4,1623,3.6,Fragil
1,208,2.1,Fragil
4,1951,9.0,Sin descripcion
4,1748,7.5,Fragil
3,1319,5.9,Fragil
1,592,7.8,Sin descripcion
2,828,2.8,Sin descripcion
3,260,4.9,Fragil
2,897,6.9,Fragil
3,1660,1.4,Sin descripcion
4,2801,5.8,Fragil
1,723,2.2,Fragil
1,2017,5.6,Fragil
3,1739,10.2,Fragil
1,380,10.3,Fragil
1,2391,8.0,Sin descripcion
3,2827,9.1,Sin descripcion
4,2655,5.9,Sin descripcion
1,2348,1.4,Fragil
4,1354,7.2,Sin descripcion
2,2541,5.8,Sin descripcion
3,3675,9.4,Sin descripcion
1,1406,8.2,Sin descripcion
2,2566,8.0,Sin descripcion
3,240,4.2,Fragil
1,199,10.8,Fragil
1,71,7.2,Fragil
3,2066,7.3,Sin descripcion
1,47,10.1,Sin descripcion
1,2750,2.1,Sin descripcion
1,17,5.7,Sin descripcion
3,3428,10.5,Fragil
3,998,4.9,Sin descripcion
1,32,7.0,Fragil
2,2996,10.1,Fragil
1,1994,5.7,Fragil
2,53,10.3,Fragil
4,3651,4.3,Sin descripcion
2,3282,7.7,Fragil
1,366,3.5,Fragil
1,308,4.1,Sin descripcion
1,3659,8.8,Fragil
4,501,3.3,Sin descripcion
1,2647,9.5,Sin descripcion
3,526,2.8,Fragil
3,3297,1.1,Fragil
1,3253,2.5,Sin descripcion
3,2724,9.4,Fragil
3,1492,10.8,Sin descripcion
1,2595,3.9,Sin descripcion
1,1791,9.1,Fragil
3,1041,2.9,Fragil
1,3602,8.6,Fragil
1,2051,1.7,Sin descripcion
1,75,4.1,Fragil
2,2717,6.2,Fragil
3,697,6.8,Fragil
2,620,3.6,Sin descripcion
1,2268,1.7,Fragil
2,546,5.6,Sin descripcion
2,3389,3.2,Fragil
1,1006,4.7,Fragil
2,2373,1.8,Sin descripcion
3,2192,2.3,Fragil
4,2698,8.0,Sin descripcion
3,3366,8.5,Sin descripcion
1,1062,3.0,Sin descripcion
2,1715,10.1,Fragil
2,395,4.5,Fragil
1,623,10.6,Fragil
1,2387,1.6,Sin descripcion
2,1978,2.4,Sin descripcion
1,1713,8.6,Sin descripcion
1,1960,3.3,Sin descripcion
3,3281,10.9,Sin descripcion
3,2486,4.6,Sin descripcion
1,2754,10.9,Sin descripcion
2,702,4.6,Fragil
1,131,7.4,Fragil
2,759,6.7,Fragil
4,3316,1.6,Fragil
2,3498,3.9,Sin descripcion
1,845,7.6,Fragil
1,332,7.6,Sin descripcion
2,1580,2.9,Fragil
2,1790,5.3,Fragil
1,838,8.7,Sin descripcion
3,3097,2.5,Sin descripcion
2,2782,6.3,Sin descripcion
2,2225,9.9,Fragil
4,1913,7.2,Sin descripcion
1,963,9.3,Sin descripcion
1,197,7.2,Fragil
1,556,1.9,Fragil
4,1016,7.5,Sin descripcion
3,1500,3.7,Sin descripcion
1,2172,9.4,Sin descripcion
3,3418,1.4,Fragil
1,1803,4.1,Sin descripcion
1,3052,9.7,Sin descripcion
4,153,4.5,Sin descripcion
3,1813,3.7,Fragil
1,3180,1.7,Fragil
2,3253,5.0,Fragil
2,1531,9.9,Sin descripcion
2,318,9.0,Sin descripcion
1,1034,9.8,Fragil
1,148,9.7,Fragil
4,1383,9.9,Fragil
3,1161,9.7,Sin descripcion
2,3481,5.2,Fragil
1,3298,3.8,Fragil
1,2032,1.5,Sin descripcion
1,2984,7.4,Sin descripcion
2,1178,2.1,Fragil
1,3330,3.1,Sin descripcion
1,3077,1.7,Sin descripcion
1,2827,6.4,Sin descripcion
2,946,3.2,Sin descripcion
4,1572,1.0,Fragil
4,1026,8.9,Fragil
1,1195,1.2,Fragil
3,1967,5.4,Sin descripcion
2,3617,2.2,Sin descripcion
2,1262,6.6,Fragil
2,1608,6.1,Sin descripcion
3,1634,2.0,Sin descripcion
2,1645,8.0,Fragil
2,3053,8.7,Sin descripcion
1,1468,9.3,Sin descripcion
3,2243,4.4,Sin descripcion
1,2448,5.1,Fragil
4,1138,7.9,Fragil
1,2917,6.1,Fragil
1,3679,4.6,Sin descripcion
2,1904,5.2,Sin descripcion
1,2342,3.6,Fragil
2,2024,10.2,Fragil
2,3552,8.0,Fragil
3,2026,6.2,Sin descripcion
3,1737,4.2,Fragil
2,340,2.3,Sin descripcion
1,2915,9.2,Sin descripcion
1,991,10.1,Fragil
3,1591,8.5,Sin descripcion
2,1668,8.8,Sin descripcion
3,2976,6.0,Sin descripcion
2,948,9.7,Sin descripcion
2,635,2.7,Sin descripcion
1,3027,10.0,Fragil
4,646,3.8,Fragil
2,0,7.2,Fragil
1,3071,9.1,Fragil
2,3610,10.1,Fragil
3,2678,8.6,Sin descripcion
2,154,5.7,Fragil
2,1432,7.7,Sin descripcion
2,2730,1.6,Sin descripcion
2,3366,1.7,Sin descripcion
4,2982,3.0,Sin descripcion
1,3516,8.3,Fragil
3,1382,3.7,Fragil
1,2496,6.2,Sin descripcion
2,2976,4.9,Fragil
2,73,10.2,Fragil
2,2106,1.1,Fragil
1,3107,3.6,Sin descripcion
1,1233,9.1,Fragil
2,3028,9.0,Fragil
1,1584,1.9,Fragil
3,3690,9.3,Sin descripcion
2,2510,9.7,Sin descripcion
1,3481,2.3,Sin descripcion
2,3688,8.6,Fragil
2,3123,6.7,Sin descripcion
3,2416,6.5,Fragil
1,1328,7.7,Sin descripcion
2,743,6.1,Sin descripcion
2,3030,4.1,Sin descripcion
1,1225,8.6,Fragil
2,3416,1.5,Sin descripcion
2,2420,8.6,Sin descripcion
1,3449,5.6,Sin descripcion
2,1644,6.9,Fragil
1,1155,10.5,Sin descripcion
3,931,1.8,Fragil
3,715,2.8,Sin descripcion
3,1842,6.0,Sin descripcion
1,1563,10.9,Sin descripcion
1,1449,6.2,Fragil
2,2786,8.1,Sin descripcion
1,2415,5.9,Fragil
3,389,2.0,Sin descripcion
1,2290,4.8,Sin descripcion
2,718,6.5,Fragil
2,1248,2.9,Sin descripcion
1,3126,7.3,Fragil
1,2270,2.8,Fragil
2,1769,5.7,Sin descripcion
1,2334,5.8,Sin descripcion
2,1058,9.4,Fragil
2,250,3.7,Fragil
3,2596,2.2,Fragil
1,2774,8.3,Fragil
1,2689,9.8,Fragil
3,712,8.1,Sin descripcion
1,2596,7.2,Fragil
2,3281,2.1,Sin descripcion
1,3534,4.9,Fragil
4,1850,8.2,Sin descripcion
1,259,10.7,Sin descripcion
1,3529,3.3,Sin descripcion
1,242,1.0,Sin descripcion
2,1454,10.1,Sin descripcion
3,583,6.8,Sin descripcion
2,688,5.8,Sin descripcion
4,237,4.0,Fragil
1,523,9.9,Fragil
3,1078,2.6,Sin descripcion
1,1156,4.4,Sin descripcion
2,2672,2.9,Sin descripcion
1,3403,1.2,Sin descripcion
2,799,8.0,Fragil
1,1667,5.7,Fragil
2,2791,10.2,Sin descripcion
2,2460,3.6,Sin descripcion
2,3320,5.5,Fragil
1,474,10.6,Sin descripcion
1,1432,2.0,Sin descripcion
3,2503,4.1,Sin descripcion
1,691,3.6,Sin descripcion
1,2610,5.1,Fragil
1,3495,4.7,Sin descripcion
1,1674,8.4,Sin descripcion
1,273,6.2,Fragil
3,2858,3.6,Sin descripcion
3,455,6.8,Fragil
1,3103,5.0,Sin descripcion
1,532,3.9,Sin descripcion
2,2140,7.8,Sin descripcion
1,2153,2.5,Sin descripcion
2,223,3.6,Fragil
3,1027,7.7,Fragil
4,2368,6.1,Fragil
2,3668,4.2,Sin descripcion
3,233,4.2,Sin descripcion
1,3678,7.9,Fragil
1,3130,1.9,Sin descripcion
4,3378,1.2,Fragil
3,3334,4.4,Fragil
3,3004,9.4,Fragil
3,1530,9.0,Fragil
1,2690,6.1,Sin descripcion
2,3354,4.9,Fragil
1,3629,7.1,Fragil
1,2194,7.8,Sin descripcion
3,3586,7.7,Sin descripcion
3,3207,6.4,Fragil
4,1703,8.1,Sin descripcion
4,1534,2.3,Fragil
2,411,2.5,Sin descripcion
1,2042,1.1,Sin descripcion
2,959,4.4,Fragil
1,3111,9.6,Sin descripcion
3,1224,1.5,Fragil
1,2516,6.4,Fragil
2,779,6.4,Sin descripcion
1,3548,4.2,Sin descripcion
4,2033,10.8,Fragil
1,957,7.5,Fragil
1,2844,2.7,Fragil
2,2557,5.4,Fragil
4,3282,10.3,Fragil
2,3103,1.2,Fragil
4,375,1.5,Fragil
3,207,4.5,Fragil
4,14,4.5,Fragil
2,719,7.7,Sin descripcion
2,1936,1.9,Sin descripcion
4,583,4.3,Sin descripcion
1,433,1.8,Sin descripcion
2,3574,9.7,Sin descripcion
2,1575,8.0,Fragil
1,2910,1.6,Sin descripcion
4,3098,1.0,Sin descripcion
4,341,4.8,Sin descripcion
4,828,8.0,Sin descripcion
1,3587,6.7,Sin descripcion
2,1784,4.8,Fragil
1,840,7.7,Fragil
2,2046,4.5,Sin descripcion
2,2938,2.1,Sin descripcion
1,3110,7.6,Sin descripcion
2,2596,6.5,Fragil
1,2634,4.4,Sin descripcion
2,1680,9.0,Fragil
2,414,9.9,Fragil
1,3462,2.3,Sin descripcion
2,1858,5.5,Sin descripcion
2,1846,10.8,Fragil
1,1020,5.2,Fragil
1,1963,1.4,Fragil
1,3205,6.5,Fragil
2,438,8.4,Sin descripcion
2,3200,8.7,Sin descripcion
4,33,6.8,Sin descripcion
1,2504,8.5,Fragil
2,698,9.3,Sin descripcion
3,3084,7.1,Sin descripcion
2,39,3.8,Fragil
2,597,8.1,Sin descripcion
1,1239,1.2,Sin descripcion
1,2802,9.6,Sin descripcion
1,612,4.3,Sin descripcion
1,1125,5.2,Fragil
4,2089,9.5,Fragil
3,962,8.6,Fragil
3,1979,4.6,Sin descripcion
2,2117,8.2,Sin descripcion
3,1295,7.9,Sin descripcion
1,2474,5.0,Sin descripcion
1,1060,9.7,Sin descripcion
2,3317,8.3,Fragil
1,942,5.7,Sin descripcion
1,3208,6.7,Sin descripcion
1,3310,2.0,Sin descripcion
3,2488,10.9,Sin descripcion
4,849,9.9,Fragil
1,1587,2.1,Sin descripcion
1,1257,4.4,Sin descripcion
1,1450,6.3,Fragil
1,1929,1.4,Fragil
2,655,2.8,Sin descripcion
4,2913,1.2,Fragil
1,62,5.4,Sin descripcion
1,3144,3.3,Sin descripcion
2,1572,4.1,Fragil
1,1580,10.9,Fragil
2,3124,1.7,Sin descripcion
1,3217,10.3,Sin descripcion
4,719,1.6,Sin descripcion
2,54,10.5,Fragil
2,1051,2.2,Sin descripcion
2,2002,9.4,Sin descripcion
2,3138,4.8,Fragil
2,3055,8.7,Fragil
1,1332,2.3,Fragil
1,2247,7.2,Sin descripcion
2,748,10.0,Fragil
1,712,4.0,Fragil
1,1183,4.1,Fragil
2,2887,10.3,Fragil
3,2303,4.6,Fragil
1,1479,2.3,Fragil
1,1760,8.4,Fragil
1,2129,3.2,Sin descripcion
3,1096,4.1,Fragil
1,3275,4.6,Fragil
1,3459,7.9,Sin descripcion
3,2739,9.8,Fragil
4,272,7.8,Fragil
1,2650,1.4,Sin descripcion
1,2119,7.2,Fragil
3,2489,5.3,Fragil
1,2022,8.1,Sin descripcion
2,1595,1.0,Sin descripcion
1,731,9.1,Sin descripcion
1,2106,1.4,Fragil
1,2678,2.8,Fragil
3,1475,2.1,Sin descripcion
3,2990,3.3,Fragil
1,3374,10.3,Fragil
3,766,4.0,Sin descripcion
3,2778,5.4,Fragil
1,1252,8.2,Fragil
2,314,4.8,Sin descripcion
1,3028,1.6,Sin descripcion
3,1086,4.4,Fragil
3,3258,4.6,Fragil
2,2509,8.1,Sin descripcion
1,1081,1.8,Sin descripcion
1,2551,3.9,Sin descripcion
3,414,6.1,Sin descripcion
3,1815,10.0,Fragil
4,418,9.9,Fragil
4,1862,3.7,Fragil
2,1948,9.2,Sin descripcion
3,3554,2.8,Fragil
1,2361,4.8,Fragil
1,2921,10.6,Sin descripcion
2,408,8.4,Fragil
3,2518,4.0,Sin descripcion
2,659,6.1,Sin descripcion
2,353,2.3,Sin descripcion
3,3598,3.8,Fragil
1,2097,1.3,Fragil
2,2910,3.1,Sin descripcion
1,1261,9.9,Fragil
2,1805,3.4,Sin descripcion
3,3579,6.9,Sin descripcion
2,2079,6.4,Sin descripcion
1,765,5.2,Fragil
3,1801,2.2,Fragil
4,3387,7.7,Fragil
1,3255,6.6,Sin descripcion
4,1825,3.0,Fragil
1,1149,10.4,Sin descripcion
1,2784,8.4,Sin descripcion
3,2010,6.9,Fragil
1,587,1.3,Fragil
2,2238,8.8,Sin descripcion
1,3563,7.3,Sin descripcion
3,2012,10.7,Fragil
1,438,10.9,Sin descripcion
1,1701,10.7,Sin descripcion
3,3481,6.7,Sin descripcion
2,214,7.3,Sin descripcion
4,2485,2.6,Sin descripcion
2,1907,5.5,Sin descripcion
2,1905,6.7,Fragil
4,2635,1.8,Sin descripcion
2,2905,10.6,Sin descripcion
2,683,5.4,Fragil
1,2483,9.8,Fragil
2,1079,8.0,Fragil
3,709,5.0,Fragil
3,402,9.9,Fragil
4,1527,7.9,Sin descripcion
2,1192,10.8,Sin descripcion
4,2542,9.3,Sin descripcion
1,1813,6.0,Sin descripcion
2,568,4.8,Fragil
1,513,4.7,Sin descripcion
3,406,9.6,Fragil
1,3479,2.3,Fragil
1,376,9.8,Fragil
1,1447,10.1,Sin descripcion
1,915,2.0,Sin descripcion
1,559,5.7,Fragil
1,662,8.5,Sin descripcion
1,2374,1.6,Sin descripcion
2,2142,8.7,Sin descripcion
3,594,3.0,Sin descripcion
1,1634,2.4,Fragil
2,3674,6.2,Sin descripcion
1,2735,8.4,Fragil
1,1676,5.6,Sin descripcion
3,956,6.6,Fragil
4,1070,10.3,Sin descripcion
1,2954,8.0,Sin descripcion
4,901,7.3,Fragil
1,3108,7.9,Sin descripcion
1,2766,10.0,Fragil
2,1707,6.8,Sin descripcion
3,3551,9.8,Fragil
1,898,2.0,Sin descripcion
1,1416,2.8,Fragil
2,336,7.2,Fragil
2,2716,1.9,Sin descripcion
2,3532,1.4,Sin descripcion
2,372,4.9,Fragil
1,2318,2.8,Fragil
2,3662,9.7,Fragil
3,2532,3.6,Fragil
2,895,2.8,Fragil
2,3381,3.5,Sin descripcion
2,2191,9.4,Fragil
1,202,6.0,Sin descripcion
2,1503,2.3,Sin descripcion
1,3651,9.6,Sin descripcion
3,1195,9.5,Fragil
3,1493,6.9,Sin descripcion
2,267,4.4,Sin descripcion
3,1921,1.1,Sin descripcion
2,1484,7.8,Sin descripcion
1,1967,6.3,Sin descripcion
4,2004,1.8,Fragil
1,2215,3.2,Fragil
3,2106,3.5,Fragil
2,757,9.3,Sin descripcion
1,3677,2.2,Fragil
1,3084,9.4,Sin descripcion
3,1263,2.5,Sin descripcion
3,208,6.4,Fragil
3,2114,8.1,Sin descripcion
